,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
145,MALDIVES,MDV,53.87,85.04,72.54,2,1991-2025,
146,MEXICO,MEX,54.3,81.86,71.6,2,1991-2025,
147,MALI,MLI,39.09,84.83,71.45,2,1991-2025,
148,MYANMAR,MMR,45.49,82.62,69.16,2,1991-2025,
149,MONGOLIA,MNG,47.9,81.45,73.07,2,1991-2025,
150,MOZAMBIQUE,MOZ,40.29,81.4,68.94,2,1991-2025,
151,MAURITANIA,MRT,36.08,78.99,65.25,2,1991-2025,
152,MAURITIUS,MUS,48.26,82.16,71.9,2,1991-2025,
153,MALAWI,MWI,45.64,64.01,56.37,2,1991-2025,
154,MALAYSIA,MYS,46.81,87.86,73.61,2,1991-2025,
155,NAMIBIA,NAM,38.92,82.72,69.11,2,1991-2025,
156,NIGER,NER,35.09,67.72,56.37,2,1991-2025,
157,NIGERIA,NGA,43.55,83.01,70.21,2,1991-2025,
158,NICARAGUA,NIC,44.67,78.94,71.17,2,1991-2025,
159,NEPAL,NPL,47.74,84.77,73.41,2,1991-2025,
160,OMAN,OMN,44.12,86.88,73.05,2,1991-2025,
161,PAKISTAN,PAK,42.74,89.8,75.34,2,1991-2025,
162,PANAMA,PAN,59.01,77.54,70.26,2,1991-2025,
163,PERU,PER,56.39,80.98,74.55,2,1991-2025,
164,PHILIPPINES,PHL,48.44,85.71,73.69,2,1991-2025,
165,PAPUA NEW GUINEA,PNG,51.8,64.42,58.27,2,1991-2025,
166,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PRK,17.16,79.97,67.09,2,1991-2025,
167,PARAGUAY,PRY,56.35,75.87,68.66,2,1991-2025,
168,QATAR,QAT,46.16,87.33,73.3,2,1991-2025,
169,RUSSIAN FEDERATION,RUS,54.58,76.01,100.0,2,1991-2025,
170,SAUDI ARABIA,SAU,45.93,85.25,73.11,2,1991-2025,
171,SUDAN,SDN,39.98,85.63,72.06,2,1991-2025,
172,SENEGAL,SEN,46.82,85.17,71.47,2,1991-2025,
173,SINGAPORE,SGP,48.95,85.1,72.99,2,1991-2025,
174,SOLOMON ISLANDS,SLB,50.21,65.56,61.99,2,1991-2025,
